instance,bf_time,bf_cost,bf_full_tour,bf_rel_error,approx_time,approx_cost,approx_full_tour,approx_rel_error,ls_avg_time,ls_avg_cost,ls_full_tour,ls_rel_error
Atlanta.tsp,301.2380270957947,3268608,0,0.6312348316642238,0.32356715202331543,2488307,1,0.24181702127447208,18.265064883232117,2030787.2,1,0.013486724727425325
Berlin.tsp,300.3012421131134,19149,0,1.5389817024661894,0.3192760944366455,10114,1,0.34102360116679925,35.27277410030365,7550.2,1,0.0010872447626623996
Boston.tsp,300.3429276943207,2203741,0,1.4645963413665801,0.3029911518096924,1107063,1,0.23810530341919053,30.87481379508972,931594.7,1,0.041866938654087194
Champaign.tsp,300.2992310523987,209943,0,2.9880515928043616,0.30747008323669434,64760,1,0.23017305244761888,34.92803273200989,52720.3,1,0.0014683813612446652
Cincinnati.tsp,0.5020527839660645,277952,1,0.0,0.21035265922546387,318227,1,0.14489911927239235,13.891648983955383,279831.6,1,0.006762318673727754
Denver.tsp,300.35113286972046,540975,0,4.376683397107787,0.48312902450561523,129206,1,0.2841624012324206,56.093204498291016,101514.6,1,0.008941012771455606
NYC.tsp,300.31491208076477,7159769,0,3.5447741345766275,0.3015880584716797,1927253,1,0.22335365640779872,43.860157179832456,1631681.7,1,0.03573520123652311
Philadelphia.tsp,300.4157419204712,3624919,0,1.5966821898005774,0.4220600128173828,1697409,1,0.21592557491828326,24.56376781463623,1435579.6,1,0.028366145384500285
Roanoke.tsp,300.40456223487854,6767159,0,9.112901080606909,0.46116185188293457,796030,1,0.1895941335493252,124.30562722682953,673678.0,1,0.006750243962215371
SanFrancisco.tsp,300.3176610469818,5581318,0,5.648035123829127,0.3072237968444824,1085013,1,0.29238372259226436,53.481275248527524,883270.6,1,0.052083750226313306
Toronto.tsp,300.345734834671,8925047,0,6.211832838271561,0.29710912704467773,1652074,1,0.33494888312124865,57.811966681480406,1274246.1,1,0.029647224044810978
UKansasState.tsp,0.5438158512115479,62962,1,0.0,0.2065746784210205,70318,1,0.11683237508338362,13.393258452415466,62962.0,1,0.0
UMissouri.tsp,300.29115104675293,658862,0,3.96373978227295,0.313154935836792,170427,1,0.2839642897502543,57.98552620410919,134012.5,1,0.009624439673032734
